,N.º,Frase,Personaje,Actor,Película,Año
0,1,"""Francamente, querida, me importa un bledo"".",Rhett Butler,Clark Gable,Lo que el viento se llevó,1939
1,2,"""Le haré una oferta que no podrá rechazar.""",Vito Corleone,Marlon Brando,El padrino,1972
2,3,"""¡Tú no lo entiendes! Pude haber tenido clase. Pude haber sido un contendiente. Pude haber sido alguien, en vez de un vago, porque eso es lo que soy."" [n. 1]​",Terry Malloy,Marlon Brando,On the Waterfront,1954
3,4,"""Toto, tengo el presentimiento de que ya no estamos en Kansas.""",Dorothy Gale,Judy Garland,El mago de Oz,1939
4,5,"""Este va por ti, nena.""",Rick Blaine,Humphrey Bogart,Casablanca,1942
5,6,"""Anda, alégrame el día.""",Harry Callahan,Clint Eastwood,Sudden Impact,1983
6,7,"""Muy bien, Sr. DeMille, estoy lista para mi primer plano."" [n. 2]​",Norma Desmond,Gloria Swanson,Sunset Boulevard,1950
7,8,"""Que la Fuerza te acompañe.""",Han Solo,Harrison Ford,Star Wars: Episode IV - A New Hope,1977
8,9,"""Ajusten sus cinturones. Va a ser una noche movida."" [n. 3]​",Margo Channing,Bette Davis,All About Eve,1950
9,10,"""¿Hablas conmigo?""",Travis Bickle,Robert De Niro,Taxi Driver,1976
10,11,"""Lo que tenemos aquí es falta de comunicación"" [n. 4]​",Captain,Strother Martin,La leyenda del indomable,1967
11,12,"""¡Me encanta el olor del napalm por la mañana!""",Lt. Col. Bill Kilgore,Robert Duvall,Apocalypse Now,1979
12,13,"""Amar es no tener que decir nunca 'lo siento'.""",Jennifer Cavilleri Barrett,Ali MacGraw,Love Story,1970
13,14,"""El material del que están hechos los sueños."" [n. 5]​",Sam Spade,Humphrey Bogart,El halcón maltés,1941
14,15,"""E.T. Mi casa. Teléfono""",E.T.,Pat Welsh,"E.T., el extraterrestre",1982
15,16,"""¡Me llaman Señor Tibbs!""",Virgil Tibbs,Sidney Poitier,En el calor de la noche,1967
16,17,"""Rosebud.""",Charles Foster Kane,Orson Welles,Citizen Kane,1941
17,18,"""¡Lo logré, mamá! ¡La cima del mundo!""","Arthur ""Cody"" Jarrett",James Cagney,White Heat,1949
18,19,"""¡Estoy muy enojado y no voy a tolerar esto más!""",Howard Beale,Peter Finch,Network,1976
19,20,"""Louis, creo que éste es el inicio de una hermosa amistad.""",Rick Blaine,Humphrey Bogart,Casablanca,1942
20,21,"""Una vez, uno del censo intentó hacerme una encuesta. Me comí su hígado acompañado de habas y un buen chianti""",Hannibal Lecter,Anthony Hopkins,The Silence of the Lambs,1991
21,22,"""Bond. James Bond.""",James Bond,Sean Connery<ref[n. 6]​,Dr. No[n. 7]​,1962
22,23,"""No hay lugar como el hogar."" [n. 8]​",Dorothy Gale,Judy Garland,El mago de Oz,1939
23,24,"""Yo soy grande. Son las películas las que se volvieron pequeñas.""",Norma Desmond,Gloria Swanson,Sunset Boulevard,1950
24,25,"""¡Muéstrame el dinero!""",Rod Tidwell,"Cuba Gooding, Jr.",Jerry Maguire,1996
25,26,"""¿Por qué no subes alguna vez y me ves?"" [n. 9]​",Lady Lou,Mae West,She Done Him Wrong,1933
26,27,"""¡Estoy caminando aquí! ¡Estoy caminando aquí!"" [n. 10]​","""Ratso"" Rizzo",Dustin Hoffman,Midnight Cowboy,1969
27,28,"""Tócala, Sam. Toca As Time Goes By."" [n. 11]​",Ilsa Lund,Ingrid Bergman,Casablanca,1942
28,29,"""¡No puedes soportar la verdad!""",Col. Nathan Jessup,Jack Nicholson,A Few Good Men,1992
29,30,"""Quiero estar sola.""",Grusinskaya,Greta Garbo,Grand Hotel,1932
30,31,"""¡Después de todo, mañana será otro día!",Scarlett O'Hara,Vivien Leigh,Lo que el viento se llevó,1939
31,32,"""Junten a los sospechosos habituales""",Capt. Louis Renault,Claude Rains,Casablanca,1942
32,33,"""Quiero lo mismo que ella.""",Customer,Estelle Reiner,When Harry Met Sally...,1989
33,34,"""Sabes silbar, ¿no, Steve? Sólo juntas tus labios y soplas.""","Marie ""Slim"" Browning",Lauren Bacall,Tener y no tener,1944
34,35,"""Necesitarás un barco más grande."" [n. 12]​",Martin Brody,Roy Scheider,Tiburón,1975
35,36,"""¿Placas? No tenemos placas. No necesitamos placas. ¡No tengo que mostrarte ninguna maldita placa!"" [n. 13]​","""Gold Hat""",Alfonso Bedoya,El tesoro de Sierra Madre,1948
36,37,"""Volveré.""",The Terminator,Arnold Schwarzenegger,The Terminator,1984
37,38,"""Hoy, me considero el hombre más afortunado en la Tierra."" [n. 14]​",Lou Gehrig,Gary Cooper,El orgullo de los Yanquis,1942
38,39,"""Si lo construyes, vendrá."" [n. 15]​",Shoeless Joe Jackson,Ray Liotta (voice),Field of Dreams,1989
39,40,"""Mamá siempre decía que la vida era como una caja de bombones. Nunca sabes qué te va a tocar"".",Forrest Gump,Tom Hanks,Forrest Gump,1994
40,41,"""Robamos bancos.""",Clyde Barrow,Warren Beatty,Bonnie y Clyde,1967
41,42,"""Plásticos.""",Mr. Maguire,Walter Brooke,El graduado,1967
42,43,"""Siempre tendremos París.""",Rick Blaine,Humphrey Bogart,Casablanca,1942
43,44,"""En ocasiones, veo muertos.""",Cole Sear,Haley Joel Osment,The Sixth Sense,1999
44,45,"""¡Stella! ¡Hey, Stella!""",Stanley Kowalski,Marlon Brando,Un tranvía llamado Deseo,1951
45,46,"""Oh, Jerry, no hay que pedir la Luna. Tenemos las estrellas.""",Charlotte Vale,Bette Davis,"La extraña pasajera (Now, Voyager)",1942
46,47,"""Shane. Shane. ¡Vuelve!""",Joey Starrett,Brandon De Wilde,Shane,1953
47,48,"""Bueno, nadie es perfecto.""",Osgood Fielding III,Joe E. Brown,Some Like It Hot,1959
48,49,"""Está vivo. ¡Está vivo!""",Dr. Henry Frankenstein,Colin Clive,Frankenstein,1931
49,50,"""Houston, tenemos un problema."" [n. 16]​",Jim Lovell,Tom Hanks,Apolo 13,1995
50,51,"""Tienes que hacerte una pregunta: ¿Me siento con suerte? ¿Bueno, te sientes, punk?"" [n. 17]​",Harry Callahan,Clint Eastwood,Harry el Sucio,1971
51,52,"""Me convenciste con 'Hola'.""",Dorothy Boyd,Renée Zellweger,Jerry Maguire,1996
52,53,"""Una mañana, le disparé a un elefante con mi pijama. Cómo se metió en mi pijama, no lo sé."" [n. 18]​",Capt. Geoffrey T. Spaulding,Groucho Marx,El conflicto de los Marx,1930
53,54,"""¡No se llora en el baseball!""",Jimmy Dugan,Tom Hanks,A League of Their Own,1992
54,55,"""La-dee-da, la-dee-da.""",Annie Hall,Diane Keaton,Annie Hall,1977
55,56,"""El mejor amigo de un chico es su madre.""",Norman Bates,Anthony Perkins,Psicosis,1960
56,57,"""La codicia, por falta de una mejor palabra, es buena."" [n. 19]​",Gordon Gekko,Michael Douglas,Wall Street,1987
57,58,"""Mantén a tus amigos cerca, pero a tus enemigos más cerca."" [n. 20]​",Michael Corleone,Al Pacino,El padrino II,1974
58,59,"""A Dios pongo por testigo, a Dios pongo por testigo, de que jamás volveré a pasar hambre.""",Scarlett O'Hara,Vivien Leigh,Lo que el viento se llevó,1939
59,60,"""¡Bueno, he aquí otro lindo desastre en el que me has metido!"" [n. 21]​[n. 22]​",Oliver,Oliver Hardy,Sons of the Desert,1933
60,61,"""¡Díganle hola a mi pequeña amiga!""",Tony Montana,Al Pacino,Scarface,1983
61,62,"""Qué basural."" [n. 23]​",Rosa Moline,Bette Davis,Más allá del bosque,1949
62,63,"""Sra. Robinson, trata de seducirme... ¿No es así?"" [n. 24]​",Benjamin Braddock,Dustin Hoffman,El graduado,1967
63,64,"""¡Caballeros, no pueden pelear aquí: Éste es el Salón de la Guerra!""",President Merkin Muffley,Peter Sellers,Dr. Strangelove,1964
64,65,"""Elemental, mi querido Watson."" [n. 25]​",Sherlock Holmes,Basil Rathbone,The Adventures of Sherlock Holmes,1939
65,66,"""¡Quítenme sus hediondas patas de encima, malditos simios mugrosos!""",George Taylor,Charlton Heston,El planeta de los simios,1968
66,67,"""De todos los bares de todas las ciudades de todo el mundo, ella entra en el mío.""",Rick Blaine,Humphrey Bogart,Casablanca,1942
67,68,"""¡Aquí está Johnny!"" [n. 26]​",Jack Torrance,Jack Nicholson,El Resplandor,1980
68,69,"""¡Ya están aquíiii!""",Carol Anne Freeling,Heather O'Rourke,Poltergeist,1982
